"","year","basin","ace","hurr_ace","major_ace","intense_ace","named_count","hurricane_count","major_hurricane_count","intense_hurricane_count","named_avg_max_mph","named_avg_max_ms","hurricane_avg_max_mph","hurricane_avg_max_ms","major_avg_max_mph","major_avg_max_ms","intense_avg_max_mph","intense_avg_max_ms","max_wind_mph","max_wind_ms","min_pressure","max_category","max_ace"
"117",1958,"Eastern Pacific",75.195,51.6375,35.8875,NA,13,5,NA,NA,66.4615384615385,29.6769230769231,89.6,40.1232,89.6,40.1232,89.6,40.1232,104,46.296,992,2,20.4525
"118",1958,"Western Atlantic",109.6925,53.1525,18.2475,5.8925,12,7,3,3,95.3333333333333,42.6523333333333,117.428571428571,52.5422857142857,117.428571428571,52.5422857142857,117.428571428571,52.5422857142857,150,66.872,930,4,25.2075
"119",1959,"Eastern Pacific",112.18,62.4525,34.43,34.43,15,5,3,3,78,34.8077333333333,126.6,56.584,126.6,56.584,126.6,56.584,173,77.16,952,5,28.0225
"120",1959,"Western Atlantic",77.1075,11.755,NA,NA,14,7,2,1,78.4285714285714,35.0894285714286,94.4285714285714,42.2542857142857,94.4285714285714,42.2542857142857,94.4285714285714,42.2542857142857,132,59.156,951,4,26.9775
"121",1960,"Eastern Pacific",60.6675,14.8125,2.8125,NA,7,5,NA,NA,76.2857142857143,34.1708571428571,86,38.58,86,38.58,86,38.58,86,38.58,987,1,26.4375
"122",1960,"Western Atlantic",72.9,54.8825,5.64,5.64,8,4,2,1,82.125,36.651,106.5,47.582,106.5,47.582,106.5,47.582,144,64.3,930,4,49.2425
"123",1961,"Eastern Pacific",24.9075,3.9375,3.9375,NA,10,2,NA,NA,58.8,26.2344,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,6.1875
"124",1961,"Western Atlantic",205.395,122.0275,69.8725,51.7575,11,8,7,4,112.545454545455,50.2709090909091,132.5,59.156,132.5,59.156,132.5,59.156,173,77.16,920,5,52.155
"125",1962,"Eastern Pacific",30.195,12.5775,12.5775,8.64,9,2,NA,NA,59.5555555555556,26.5773333333333,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,8.64
"126",1962,"Western Atlantic",35.5675,18.905,5.23,NA,5,3,1,NA,86.2,38.58,107.333333333333,48.0106666666667,107.333333333333,48.0106666666667,107.333333333333,48.0106666666667,115,51.44,950,3,13.675
"127",1963,"Eastern Pacific",34.92,3.9375,3.9375,NA,8,4,NA,NA,69,30.864,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,7.4925
"128",1963,"Western Atlantic",117.9325,22.255,18.0275,7.1825,9,7,2,1,93.5555555555556,41.7235555555555,104.571428571429,46.6634285714286,104.571428571429,46.6634285714286,104.571428571429,46.6634285714286,144,64.3,940,4,49.4325
"129",1964,"Eastern Pacific",18.7875,10.6875,10.6875,10.6875,5,1,NA,NA,58.8,26.2344,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,10.6875
"130",1964,"Western Atlantic",169.7675,101.8625,54.2675,35.4125,12,6,6,4,94.5,42.2236666666667,137.166666666667,61.2993333333333,137.166666666667,61.2993333333333,137.166666666667,61.2993333333333,155,69.444,941,4,37.6775
"131",1965,"Eastern Pacific",38.17,NA,NA,NA,10,1,NA,NA,56,24.9484,92,41.152,92,41.152,92,41.152,92,41.152,NA,1,8.3025
"132",1965,"Western Atlantic",84.33,53.765,6.7675,6.7675,6,4,1,1,88.3333333333333,39.4373333333333,106.5,47.582,106.5,47.582,106.5,47.582,155,69.444,941,4,46.9975
"133",1966,"Eastern Pacific",61.7625,43.74,35.415,6.9525,13,7,NA,NA,70.3076923076923,31.4575384615385,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,11.4075
"134",1966,"Western Atlantic",145.2175,137.5075,59.765,45.37,11,7,3,1,85.5454545454545,38.1123636363636,103.857142857143,46.296,103.857142857143,46.296,103.857142857143,46.296,150,66.872,929,4,54.5825
"135",1967,"Eastern Pacific",113.2425,40.8325,4.635,4.635,17,7,2,1,73.8235294117647,32.9821176470588,101,45.1937142857143,101,45.1937142857143,101,45.1937142857143,150,66.872,933,4,36.1975
"136",1967,"Western Atlantic",121.705,85.6475,60.9425,47.9275,8,6,1,1,91.25,40.8305,103.333333333333,46.296,103.333333333333,46.296,103.333333333333,46.296,161,72.016,923,5,47.9275
"137",1968,"Eastern Pacific",67.8525,8.0325,8.0325,NA,19,6,NA,NA,63.0526315789474,28.1566315789474,86,38.58,86,38.58,86,38.58,86,38.58,1008,1,10.71
